train_id,train_type,station,arrival_time,departure_time,transfer_station
40010000,Local,B9,5:16,5:16,FALSE
40010000,Local,B8,5:20,5:20,TRUE
40010000,Local,B7,5:22,5:22,FALSE
40010000,Local,B6,5:26,5:26,FALSE
40010000,Local,B5,5:27,5:27,FALSE
40010000,Local,B4,5:31,5:31,FALSE
40010000,Local,B3,5:36,5:36,FALSE
40010000,Local,B2,5:42,5:42,TRUE
40010000,Local,B1,5:45,5:45,FALSE
40010001,Local,B9,5:26,5:26,FALSE
40010001,Local,B8,5:30,5:30,TRUE
40010001,Local,B7,5:32,5:32,FALSE
40010001,Local,B6,5:36,5:36,FALSE
40010001,Local,B5,5:37,5:37,FALSE
40010001,Local,B4,5:41,5:41,FALSE
40010001,Local,B3,5:46,5:46,FALSE
40010001,Local,B2,5:52,5:52,TRUE
40010001,Local,B1,5:55,5:55,FALSE
40010002,Local,B9,5:36,5:36,FALSE
40010002,Local,B8,5:40,5:40,TRUE
40010002,Local,B7,5:42,5:42,FALSE
40010002,Local,B6,5:46,5:46,FALSE
40010002,Local,B5,5:47,5:47,FALSE
40010002,Local,B4,5:51,5:51,FALSE
40010002,Local,B3,5:56,5:56,FALSE
40010002,Local,B2,6:02,6:02,TRUE
40010002,Local,B1,6:05,6:05,FALSE
40010003,Local,B9,5:46,5:46,FALSE
40010003,Local,B8,5:50,5:50,TRUE
40010003,Local,B7,5:52,5:52,FALSE
40010003,Local,B6,5:56,5:56,FALSE
40010003,Local,B5,5:57,5:57,FALSE
40010003,Local,B4,6:01,6:01,FALSE
40010003,Local,B3,6:06,6:06,FALSE
40010003,Local,B2,6:12,6:12,TRUE
40010003,Local,B1,6:15,6:15,FALSE
40010004,Local,B9,5:56,5:56,FALSE
40010004,Local,B8,6:00,6:00,TRUE
40010004,Local,B7,6:02,6:02,FALSE
40010004,Local,B6,6:06,6:06,FALSE
40010004,Local,B5,6:07,6:07,FALSE
40010004,Local,B4,6:11,6:11,FALSE
40010004,Local,B3,6:16,6:16,FALSE
40010004,Local,B2,6:22,6:22,TRUE
40010004,Local,B1,6:25,6:25,FALSE
40010005,Local,B9,6:06,6:06,FALSE
40010005,Local,B8,6:10,6:10,TRUE
40010005,Local,B7,6:12,6:12,FALSE
40010005,Local,B6,6:16,6:16,FALSE
40010005,Local,B5,6:17,6:17,FALSE
40010005,Local,B4,6:21,6:21,FALSE
40010005,Local,B3,6:26,6:26,FALSE
40010005,Local,B2,6:32,6:32,TRUE
40010005,Local,B1,6:35,6:35,FALSE
40010006,Local,B9,6:16,6:16,FALSE
40010006,Local,B8,6:20,6:20,TRUE
40010006,Local,B7,6:22,6:22,FALSE
40010006,Local,B6,6:26,6:26,FALSE
40010006,Local,B5,6:27,6:27,FALSE
40010006,Local,B4,6:31,6:31,FALSE
40010006,Local,B3,6:36,6:36,FALSE
40010006,Local,B2,6:42,6:42,TRUE
40010006,Local,B1,6:45,6:45,FALSE
40010007,Local,B9,6:26,6:26,FALSE
40010007,Local,B8,6:30,6:30,TRUE
40010007,Local,B7,6:32,6:32,FALSE
40010007,Local,B6,6:36,6:36,FALSE
40010007,Local,B5,6:37,6:37,FALSE
40010007,Local,B4,6:41,6:41,FALSE
40010007,Local,B3,6:46,6:46,FALSE
40010007,Local,B2,6:52,6:52,TRUE
40010007,Local,B1,6:55,6:55,FALSE
40010008,Local,B9,6:34,6:34,FALSE
40010008,Local,B8,6:38,6:38,TRUE
40010008,Local,B7,6:40,6:40,FALSE
40010008,Local,B6,6:44,6:44,FALSE
40010008,Local,B5,6:45,6:45,FALSE
40010008,Local,B4,6:49,6:49,FALSE
40010008,Local,B3,6:54,6:54,FALSE
40010008,Local,B2,7:00,7:00,TRUE
40010008,Local,B1,7:03,7:03,FALSE
40010009,Local,B9,6:42,6:42,FALSE
40010009,Local,B8,6:46,6:46,TRUE
40010009,Local,B7,6:48,6:48,FALSE
40010009,Local,B6,6:52,6:52,FALSE
40010009,Local,B5,6:53,6:53,FALSE
40010009,Local,B4,6:57,6:57,FALSE
40010009,Local,B3,7:02,7:02,FALSE
40010009,Local,B2,7:08,7:08,TRUE
40010009,Local,B1,7:11,7:11,FALSE
40010010,Local,B9,6:50,6:50,FALSE
40010010,Local,B8,6:54,6:54,TRUE
40010010,Local,B7,6:56,6:56,FALSE
40010010,Local,B6,7:00,7:00,FALSE
40010010,Local,B5,7:01,7:01,FALSE
40010010,Local,B4,7:05,7:05,FALSE
40010010,Local,B3,7:10,7:10,FALSE
40010010,Local,B2,7:16,7:16,TRUE
40010010,Local,B1,7:19,7:19,FALSE
40010011,Local,B9,6:58,6:58,FALSE
40010011,Local,B8,7:02,7:02,TRUE
40010011,Local,B7,7:04,7:04,FALSE
40010011,Local,B6,7:08,7:08,FALSE
40010011,Local,B5,7:09,7:09,FALSE
40010011,Local,B4,7:13,7:13,FALSE
40010011,Local,B3,7:18,7:18,FALSE
40010011,Local,B2,7:24,7:24,TRUE
40010011,Local,B1,7:27,7:27,FALSE
40010012,Local,B9,7:06,7:06,FALSE
40010012,Local,B8,7:10,7:10,TRUE
40010012,Local,B7,7:12,7:12,FALSE
40010012,Local,B6,7:16,7:16,FALSE
40010012,Local,B5,7:17,7:17,FALSE
40010012,Local,B4,7:21,7:21,FALSE
40010012,Local,B3,7:26,7:26,FALSE
40010012,Local,B2,7:32,7:32,TRUE
40010012,Local,B1,7:35,7:35,FALSE
40010013,Local,B9,7:11,7:11,FALSE
40010013,Local,B8,7:15,7:15,TRUE
40010013,Local,B7,7:17,7:17,FALSE
40010013,Local,B6,7:21,7:21,FALSE
40010013,Local,B5,7:22,7:22,FALSE
40010013,Local,B4,7:26,7:26,FALSE
40010013,Local,B3,7:31,7:31,FALSE
40010013,Local,B2,7:37,7:37,TRUE
40010013,Local,B1,7:40,7:40,FALSE
40010014,Local,B9,7:16,7:16,FALSE
40010014,Local,B8,7:20,7:20,TRUE
40010014,Local,B7,7:22,7:22,FALSE
40010014,Local,B6,7:26,7:26,FALSE
40010014,Local,B5,7:27,7:27,FALSE
40010014,Local,B4,7:31,7:31,FALSE
40010014,Local,B3,7:36,7:36,FALSE
40010014,Local,B2,7:42,7:42,TRUE
40010014,Local,B1,7:45,7:45,FALSE
40010015,Local,B9,7:21,7:21,FALSE
40010015,Local,B8,7:25,7:25,TRUE
40010015,Local,B7,7:27,7:27,FALSE
40010015,Local,B6,7:31,7:31,FALSE
40010015,Local,B5,7:32,7:32,FALSE
40010015,Local,B4,7:36,7:36,FALSE
40010015,Local,B3,7:41,7:41,FALSE
40010015,Local,B2,7:47,7:47,TRUE
