train_id,train_type,station,arrival_time,departure_time,transfer_station
20010000,Local,G14,4:37,4:37,TRUE
20010000,Local,G13,4:39,4:39,FALSE
20010000,Local,G12,4:42,4:42,FALSE
20010000,Local,G11,4:44,4:44,TRUE
20010000,Local,G10,4:48,4:48,FALSE
20010000,Local,G9,4:53,4:53,FALSE
20010000,Local,G8,4:55,4:55,FALSE
20010000,Local,G7,4:57,4:57,FALSE
20010000,Local,G6,4:59,4:59,FALSE
20010000,Local,G5,5:03,5:03,FALSE
20010000,Local,G4,5:05,5:05,FALSE
20010000,Local,G3,5:10,5:10,FALSE
20010000,Local,G2,5:13,5:13,FALSE
20010000,Local,G1,5:17,5:17,TRUE
20010001,Local,G14,4:52,4:52,TRUE
20010001,Local,G13,4:54,4:54,FALSE
20010001,Local,G12,4:57,4:57,FALSE
20010001,Local,G11,4:59,4:59,TRUE
20010001,Local,G10,5:03,5:03,FALSE
20010001,Local,G9,5:08,5:08,FALSE
20010001,Local,G8,5:10,5:10,FALSE
20010001,Local,G7,5:12,5:12,FALSE
20010001,Local,G6,5:14,5:14,FALSE
20010001,Local,G5,5:18,5:18,FALSE
20010001,Local,G4,5:20,5:20,FALSE
20010001,Local,G3,5:25,5:25,FALSE
20010001,Local,G2,5:28,5:28,FALSE
20010001,Local,G1,5:32,5:32,TRUE
20010002,Local,G14,5:07,5:07,TRUE
20010002,Local,G13,5:09,5:09,FALSE
20010002,Local,G12,5:12,5:12,FALSE
20010002,Local,G11,5:14,5:14,TRUE
20010002,Local,G10,5:18,5:18,FALSE
20010002,Local,G9,5:23,5:23,FALSE
20010002,Local,G8,5:25,5:25,FALSE
20010002,Local,G7,5:27,5:27,FALSE
20010002,Local,G6,5:29,5:29,FALSE
20010002,Local,G5,5:33,5:33,FALSE
20010002,Local,G4,5:35,5:35,FALSE
20010002,Local,G3,5:40,5:40,FALSE
20010002,Local,G2,5:43,5:43,FALSE
20010002,Local,G1,5:47,5:47,TRUE
20010003,Local,G14,5:22,5:22,TRUE
20010003,Local,G13,5:24,5:24,FALSE
20010003,Local,G12,5:27,5:27,FALSE
20010003,Local,G11,5:29,5:29,TRUE
20010003,Local,G10,5:33,5:33,FALSE
20010003,Local,G9,5:38,5:38,FALSE
20010003,Local,G8,5:40,5:40,FALSE
20010003,Local,G7,5:42,5:42,FALSE
20010003,Local,G6,5:44,5:44,FALSE
20010003,Local,G5,5:48,5:48,FALSE
20010003,Local,G4,5:50,5:50,FALSE
20010003,Local,G3,5:55,5:55,FALSE
20010003,Local,G2,5:58,5:58,FALSE
20010003,Local,G1,6:02,6:02,TRUE
20010004,Local,G14,5:37,5:37,TRUE
20010004,Local,G13,5:39,5:39,FALSE
20010004,Local,G12,5:42,5:42,FALSE
20010004,Local,G11,5:44,5:44,TRUE
20010004,Local,G10,5:48,5:48,FALSE
20010004,Local,G9,5:53,5:53,FALSE
20010004,Local,G8,5:55,5:55,FALSE
20010004,Local,G7,5:57,5:57,FALSE
20010004,Local,G6,5:59,5:59,FALSE
20010004,Local,G5,6:03,6:03,FALSE
20010004,Local,G4,6:05,6:05,FALSE
20010004,Local,G3,6:10,6:10,FALSE
20010004,Local,G2,6:13,6:13,FALSE
20010004,Local,G1,6:17,6:17,TRUE
20010005,Local,G14,5:52,5:52,TRUE
20010005,Local,G13,5:54,5:54,FALSE
20010005,Local,G12,5:57,5:57,FALSE
20010005,Local,G11,5:59,5:59,TRUE
20010005,Local,G10,6:03,6:03,FALSE
20010005,Local,G9,6:08,6:08,FALSE
20010005,Local,G8,6:10,6:10,FALSE
20010005,Local,G7,6:12,6:12,FALSE
20010005,Local,G6,6:14,6:14,FALSE
