train_id,train_type,station,arrival_time,departure_time,transfer_station
30010000,Local,O8,4:40,4:40,FALSE
30010000,Local,O7,4:42,4:42,FALSE
30010000,Local,O6,4:46,4:46,FALSE
30010000,Local,O5,4:52,4:52,FALSE
30010000,Local,O4,4:57,4:57,TRUE
30010000,Local,O3,5:01,5:01,FALSE
30010000,Local,O2,5:06,5:06,FALSE
30010000,Local,O1,5:11,5:11,TRUE
30010001,Local,O8,5:02,5:02,FALSE
30010001,Local,O7,5:04,5:04,FALSE
30010001,Local,O6,5:09,5:09,FALSE
30010001,Local,O5,5:15,5:15,FALSE
30010001,Local,O4,5:20,5:20,TRUE
30010001,Local,O3,5:24,5:24,FALSE
30010001,Local,O2,5:29,5:29,FALSE
30010001,Local,O1,5:34,5:34,TRUE
30010002,Local,O8,5:31,5:31,FALSE
30010002,Local,O7,5:34,5:34,FALSE
30010002,Local,O6,5:38,5:38,FALSE
30010002,Local,O5,5:44,5:44,FALSE
30010002,Local,O4,5:49,5:49,TRUE
30010002,Local,O3,5:54,5:54,FALSE
30010002,Local,O2,5:59,5:59,FALSE
30010002,Local,O1,6:04,6:04,TRUE
30010003,Local,O8,5:54,5:54,FALSE
30010003,Local,O7,5:56,5:56,FALSE
30010003,Local,O6,6:01,6:01,FALSE
30010003,Local,O5,6:07,6:07,FALSE
30010003,Local,O4,6:11,6:11,TRUE
30010003,Local,O3,6:16,6:16,FALSE
30010003,Local,O2,6:20,6:20,FALSE
30010003,Local,O1,6:23,6:23,TRUE
30010004,Local,O8,6:16,6:16,FALSE
30010004,Local,O7,6:19,6:19,FALSE
30010004,Local,O6,6:23,6:23,FALSE
30010004,Local,O5,6:29,6:29,FALSE
30010004,Local,O4,6:33,6:35,TRUE
30010004,Local,O3,6:39,6:39,FALSE
30010004,Local,O2,6:44,6:44,FALSE
30010004,Local,O1,6:48,6:48,TRUE
30010005,Rapid,O8,6:30,6:30,FALSE
30010005,Rapid,O5,6:41,6:41,FALSE
30010005,Rapid,O4,6:46,6:46,TRUE
30010005,Rapid,O3,6:50,6:50,FALSE
30010005,Rapid,O2,6:55,6:55,FALSE
30010005,Rapid,O1,7:00,7:00,TRUE
30010006,Local,O8,6:32,6:32,FALSE
30010006,Local,O7,6:34,6:34,FALSE
30010006,Local,O6,6:39,6:39,FALSE
30010006,Local,O5,6:45,6:45,FALSE
30010006,Local,O4,6:50,6:50,TRUE
30010006,Local,O3,6:55,6:55,FALSE
30010006,Local,O2,6:59,6:59,FALSE
30010006,Local,O1,7:04,7:04,TRUE
30010007,Rapid,O8,6:43,6:43,FALSE
30010007,Rapid,O5,6:53,6:53,FALSE
30010007,Rapid,O4,6:58,7:00,TRUE
30010007,Rapid,O3,7:04,7:04,FALSE
30010007,Rapid,O2,7:08,7:08,FALSE
30010007,Rapid,O1,7:13,7:13,TRUE
30010008,Local,O8,6:54,6:54,FALSE
30010008,Local,O7,6:56,6:56,FALSE
30010008,Local,O6,7:01,7:01,FALSE
30010008,Local,O5,7:07,7:07,FALSE
30010008,Local,O4,7:12,7:14,TRUE
30010008,Local,O3,7:18,7:18,FALSE
30010008,Local,O2,7:23,7:23,FALSE
30010008,Local,O1,7:28,7:28,TRUE
30010009,Local,O8,7:14,7:14,FALSE
30010009,Local,O7,7:16,7:16,FALSE
30010009,Local,O6,7:21,7:21,FALSE
30010009,Local,O5,7:28,7:28,FALSE
30010009,Local,O4,7:33,7:35,TRUE
30010009,Local,O3,7:39,7:39,FALSE
30010009,Local,O2,7:44,7:44,FALSE
30010009,Local,O1,7:49,7:49,TRUE
30010010,Local,O8,7:36,7:36,FALSE
30010010,Local,O7,7:39,7:39,FALSE
30010010,Local,O6,7:44,7:44,FALSE
30010010,Local,O5,7:52,7:52,FALSE
30010010,Local,O4,7:57,7:57,TRUE
30010010,Local,O3,8:01,8:01,FALSE
30010010,Local,O2,8:06,8:06,FALSE
30010010,Local,O1,8:11,8:11,TRUE
30010011,Local,O8,7:51,7:51,FALSE
30010011,Local,O7,7:54,7:54,FALSE
30010011,Local,O6,7:59,7:59,FALSE
30010011,Local,O5,8:07,8:07,FALSE
30010011,Local,O4,8:12,8:12,TRUE
30010011,Local,O3,8:16,8:16,FALSE
30010011,Local,O2,8:22,8:22,FALSE
30010011,Local,O1,8:26,8:26,TRUE
30010012,Local,O8,8:09,8:09,FALSE
30010012,Local,O7,8:11,8:11,FALSE
30010012,Local,O6,8:17,8:17,FALSE
30010012,Local,O5,8:24,8:24,FALSE
30010012,Local,O4,8:30,8:30,TRUE
30010012,Local,O3,8:34,8:34,FALSE
30010012,Local,O2,8:40,8:40,FALSE
30010012,Local,O1,8:44,8:44,TRUE
30010013,Local,O8,8:25,8:25,FALSE
30010013,Local,O7,8:28,8:28,FALSE
30010013,Local,O6,8:33,8:33,FALSE
30010013,Local,O5,8:40,8:40,FALSE
30010013,Local,O4,8:46,8:46,TRUE
30010013,Local,O3,8:50,8:50,FALSE
30010013,Local,O2,8:54,8:54,FALSE
30010013,Local,O1,8:59,8:59,TRUE
30010014,Local,O8,8:45,8:45,FALSE
30010014,Local,O7,8:48,8:48,FALSE
30010014,Local,O6,8:53,8:53,FALSE
30010014,Local,O5,9:00,9:00,FALSE
30010014,Local,O4,9:05,9:05,TRUE
30010014,Local,O3,9:10,9:10,FALSE
30010014,Local,O2,9:15,9:15,FALSE
30010014,Local,O1,9:19,9:19,TRUE
30010015,Local,O8,9:01,9:01,FALSE
30010015,Local,O7,9:03,9:03,FALSE
30010015,Local,O6,9:09,9:09,FALSE
30010015,Local,O5,9:16,9:16,FALSE
30010015,Local,O4,9:20,9:22,TRUE
30010015,Local,O3,9:26,9:26,FALSE
30010015,Local,O2,9:32,9:32,FALSE
30010015,Local,O1,9:36,9:36,TRUE
30010016,Local,O8,9:24,9:24,FALSE
30010016,Local,O7,9:26,9:26,FALSE
30010016,Local,O6,9:31,9:31,FALSE
30010016,Local,O5,9:37,9:37,FALSE
30010016,Local,O4,9:42,9:44,TRUE
30010016,Local,O3,9:48,9:48,FALSE
30010016,Local,O2,9:53,9:53,FALSE
30010016,Local,O1,9:57,9:57,TRUE
30010017,Rapid,O8,9:45,9:45,FALSE
30010017,Rapid,O5,9:55,9:55,FALSE
30010017,Rapid,O4,9:59,10:01,TRUE
30010017,Rapid,O3,10:05,10:05,FALSE
30010017,Rapid,O2,10:10,10:10,FALSE
30010017,Rapid,O1,10:15,10:15,TRUE
30010018,Local,O8,9:51,9:51,FALSE
30010018,Local,O7,9:53,9:53,FALSE
30010018,Local,O6,9:58,9:58,FALSE
30010018,Local,O5,10:04,10:04,FALSE
30010018,Local,O4,10:09,10:09,TRUE
30010018,Local,O3,10:13,10:13,FALSE
30010018,Local,O2,10:18,10:18,FALSE
30010018,Local,O1,10:23,10:23,TRUE
30010019,Rapid,O8,10:04,10:04,FALSE
30010019,Rapid,O5,10:14,10:14,FALSE
30010019,Rapid,O4,10:18,10:21,TRUE
30010019,Rapid,O3,10:25,10:25,FALSE
30010019,Rapid,O2,10:30,10:30,FALSE
30010019,Rapid,O1,10:35,10:35,TRUE
30010020,Local,O8,10:20,10:20,FALSE
30010020,Local,O7,10:22,10:22,FALSE
30010020,Local,O6,10:27,10:27,FALSE
30010020,Local,O5,10:33,10:33,FALSE
30010020,Local,O4,10:38,10:38,TRUE
30010020,Local,O3,10:42,10:42,FALSE
30010020,Local,O2,10:47,10:47,FALSE
30010020,Local,O1,10:52,10:52,TRUE
30010021,Rapid,O8,10:35,10:35,FALSE
30010021,Rapid,O5,10:43,10:43,FALSE
30010021,Rapid,O4,10:47,10:50,TRUE
30010021,Rapid,O3,10:54,10:54,FALSE
30010021,Rapid,O2,10:59,10:59,FALSE
30010021,Rapid,O1,11:03,11:03,TRUE
30010022,Local,O8,10:47,10:47,FALSE
30010022,Local,O7,10:50,10:50,FALSE
30010022,Local,O6,10:55,10:55,FALSE
30010022,Local,O5,11:01,11:01,FALSE
30010022,Local,O4,11:06,11:06,TRUE
30010022,Local,O3,11:10,11:10,FALSE
30010022,Local,O2,11:16,11:16,FALSE
30010022,Local,O1,11:21,11:21,TRUE
30010023,Local,O8,11:04,11:04,FALSE
30010023,Local,O7,11:07,11:07,FALSE
30010023,Local,O6,11:11,11:11,FALSE
30010023,Local,O5,11:17,11:17,FALSE
30010023,Local,O4,11:22,11:22,TRUE
30010023,Local,O3,11:26,11:26,FALSE
30010023,Local,O2,11:31,11:31,FALSE
30010023,Local,O1,11:36,11:36,TRUE
30010024,Rapid,O8,11:10,11:10,FALSE
30010024,Rapid,O5,11:19,11:19,FALSE
30010024,Rapid,O4,11:23,11:27,TRUE
30010024,Rapid,O3,11:31,11:31,FALSE
30010024,Rapid,O2,11:36,11:36,FALSE
30010024,Rapid,O1,11:40,11:40,TRUE
30010025,Rapid,O8,11:24,11:24,FALSE
30010025,Rapid,O5,11:33,11:33,FALSE
30010025,Rapid,O4,11:38,11:38,TRUE
30010025,Rapid,O3,11:43,11:43,FALSE
30010025,Rapid,O2,11:48,11:48,FALSE
30010025,Rapid,O1,11:52,11:52,TRUE
30010026,Local,O8,11:26,11:26,FALSE
30010026,Local,O7,11:28,11:28,FALSE
30010026,Local,O6,11:33,11:33,FALSE
30010026,Local,O5,11:39,11:39,FALSE
30010026,Local,O4,11:44,11:44,TRUE
30010026,Local,O3,11:48,11:48,FALSE
30010026,Local,O2,11:53,11:53,FALSE
30010026,Local,O1,11:57,11:57,TRUE
30010027,Local,O8,11:42,11:42,FALSE
30010027,Local,O7,11:44,11:44,FALSE
30010027,Local,O6,11:49,11:49,FALSE
30010027,Local,O5,11:55,11:55,FALSE
30010027,Local,O4,12:00,12:00,TRUE
30010027,Local,O3,12:04,12:04,FALSE
30010027,Local,O2,12:09,12:09,FALSE
30010027,Local,O1,12:14,12:14,TRUE
30010028,Rapid,O8,11:57,11:57,FALSE
30010028,Rapid,O5,12:06,12:06,FALSE
30010028,Rapid,O4,12:10,12:12,TRUE
30010028,Rapid,O3,12:17,12:17,FALSE
30010028,Rapid,O2,12:22,12:22,FALSE
30010028,Rapid,O1,12:26,12:26,TRUE
30010029,Local,O8,12:13,12:13,FALSE
30010029,Local,O7,12:16,12:16,FALSE
30010029,Local,O6,12:20,12:20,FALSE
30010029,Local,O5,12:27,12:27,FALSE
30010029,Local,O4,12:31,12:31,TRUE
30010029,Local,O3,12:36,12:36,FALSE
30010029,Local,O2,12:41,12:41,FALSE
30010029,Local,O1,12:45,12:45,TRUE
30010030,Local,O8,12:25,12:25,FALSE
30010030,Local,O7,12:27,12:27,FALSE
30010030,Local,O6,12:32,12:32,FALSE
30010030,Local,O5,12:38,12:38,FALSE
30010030,Local,O4,12:42,12:44,TRUE
30010030,Local,O3,12:48,12:48,FALSE
30010030,Local,O2,12:53,12:53,FALSE
30010030,Local,O1,12:58,12:58,TRUE
30010031,Local,O8,12:41,12:41,FALSE
30010031,Local,O7,12:43,12:43,FALSE
30010031,Local,O6,12:48,12:48,FALSE
30010031,Local,O5,12:54,12:54,FALSE
30010031,Local,O4,12:58,13:00,TRUE
30010031,Local,O3,13:04,13:04,FALSE
30010031,Local,O2,13:09,13:09,FALSE
30010031,Local,O1,13:14,13:14,TRUE
