train_id,train_type,station,arrival_time,departure_time,transfer_station
20000000,Local,G1,4:46,4:46,TRUE
20000000,Local,G2,4:50,4:50,FALSE
20000000,Local,G3,4:54,4:54,FALSE
20000000,Local,G4,4:58,4:58,FALSE
20000000,Local,G5,4:59,4:59,FALSE
20000000,Local,G6,5:03,5:03,FALSE
20000000,Local,G7,5:05,5:05,FALSE
20000000,Local,G8,5:07,5:07,FALSE
20000000,Local,G9,5:10,5:10,FALSE
20000000,Local,G10,5:14,5:14,FALSE
20000000,Local,G11,5:19,5:19,TRUE
20000000,Local,G12,5:21,5:21,FALSE
20000000,Local,G13,5:23,5:23,FALSE
20000000,Local,G14,5:26,5:26,TRUE
20000001,Local,G1,5:01,5:01,TRUE
20000001,Local,G2,5:05,5:05,FALSE
20000001,Local,G3,5:09,5:09,FALSE
20000001,Local,G4,5:13,5:13,FALSE
20000001,Local,G5,5:14,5:14,FALSE
20000001,Local,G6,5:18,5:18,FALSE
20000001,Local,G7,5:20,5:20,FALSE
20000001,Local,G8,5:22,5:22,FALSE
20000001,Local,G9,5:25,5:25,FALSE
20000001,Local,G10,5:29,5:29,FALSE
20000001,Local,G11,5:34,5:34,TRUE
20000001,Local,G12,5:36,5:36,FALSE
20000001,Local,G13,5:38,5:38,FALSE
20000001,Local,G14,5:41,5:41,TRUE
20000002,Local,G1,5:16,5:16,TRUE
20000002,Local,G2,5:20,5:20,FALSE
20000002,Local,G3,5:24,5:24,FALSE
20000002,Local,G4,5:28,5:28,FALSE
20000002,Local,G5,5:29,5:29,FALSE
20000002,Local,G6,5:33,5:33,FALSE
20000002,Local,G7,5:35,5:35,FALSE
20000002,Local,G8,5:37,5:37,FALSE
20000002,Local,G9,5:40,5:40,FALSE
20000002,Local,G10,5:44,5:44,FALSE
20000002,Local,G11,5:49,5:49,TRUE
20000002,Local,G12,5:51,5:51,FALSE
20000002,Local,G13,5:53,5:53,FALSE
20000002,Local,G14,5:56,5:56,TRUE
20000003,Local,G1,5:28,5:28,TRUE
20000003,Local,G2,5:32,5:32,FALSE
20000003,Local,G3,5:36,5:36,FALSE
20000003,Local,G4,5:40,5:40,FALSE
20000003,Local,G5,5:41,5:41,FALSE
20000003,Local,G6,5:45,5:45,FALSE
20000003,Local,G7,5:47,5:47,FALSE
20000003,Local,G8,5:49,5:49,FALSE
20000003,Local,G9,5:52,5:52,FALSE
20000003,Local,G10,5:56,5:56,FALSE
20000003,Local,G11,6:01,6:01,TRUE
20000003,Local,G12,6:03,6:03,FALSE
20000003,Local,G13,6:05,6:05,FALSE
20000003,Local,G14,6:08,6:08,TRUE
20000004,Local,G1,5:40,5:40,TRUE
20000004,Local,G2,5:44,5:44,FALSE
20000004,Local,G3,5:48,5:48,FALSE
20000004,Local,G4,5:52,5:52,FALSE
20000004,Local,G5,5:53,5:53,FALSE
20000004,Local,G6,5:57,5:57,FALSE
20000004,Local,G7,5:59,5:59,FALSE
20000004,Local,G8,6:01,6:01,FALSE
20000004,Local,G9,6:04,6:04,FALSE
20000004,Local,G10,6:08,6:08,FALSE
20000004,Local,G11,6:13,6:13,TRUE
20000004,Local,G12,6:15,6:15,FALSE
20000004,Local,G13,6:17,6:17,FALSE
20000004,Local,G14,6:20,6:20,TRUE
20000005,Local,G1,5:52,5:52,TRUE
20000005,Local,G2,5:56,5:56,FALSE
20000005,Local,G3,6:00,6:00,FALSE
20000005,Local,G4,6:04,6:04,FALSE
20000005,Local,G5,6:05,6:05,FALSE
20000005,Local,G6,6:09,6:09,FALSE
20000005,Local,G7,6:11,6:11,FALSE
20000005,Local,G8,6:13,6:13,FALSE
20000005,Local,G9,6:16,6:16,FALSE
20000005,Local,G10,6:20,6:20,FALSE
20000005,Local,G11,6:25,6:25,TRUE
20000005,Local,G12,6:27,6:27,FALSE
20000005,Local,G13,6:29,6:29,FALSE
20000005,Local,G14,6:32,6:32,TRUE
20000006,Local,G1,6:04,6:04,TRUE
20000006,Local,G2,6:08,6:08,FALSE
20000006,Local,G3,6:12,6:12,FALSE
20000006,Local,G4,6:16,6:16,FALSE
20000006,Local,G5,6:17,6:17,FALSE
20000006,Local,G6,6:21,6:21,FALSE
20000006,Local,G7,6:23,6:23,FALSE
20000006,Local,G8,6:25,6:25,FALSE
20000006,Local,G9,6:28,6:28,FALSE
20000006,Local,G10,6:32,6:32,FALSE
20000006,Local,G11,6:37,6:37,TRUE
20000006,Local,G12,6:39,6:39,FALSE
20000006,Local,G13,6:41,6:41,FALSE
20000006,Local,G14,6:44,6:44,TRUE
20000007,Local,G1,6:14,6:14,TRUE
20000007,Local,G2,6:18,6:18,FALSE
20000007,Local,G3,6:22,6:22,FALSE
20000007,Local,G4,6:26,6:26,FALSE
20000007,Local,G5,6:27,6:27,FALSE
20000007,Local,G6,6:31,6:31,FALSE
20000007,Local,G7,6:33,6:33,FALSE
20000007,Local,G8,6:35,6:35,FALSE
20000007,Local,G9,6:38,6:38,FALSE
20000007,Local,G10,6:42,6:42,FALSE
20000007,Local,G11,6:47,6:47,TRUE
20000007,Local,G12,6:49,6:49,FALSE
20000007,Local,G13,6:51,6:51,FALSE
20000007,Local,G14,6:54,6:54,TRUE
20000008,Local,G1,6:24,6:24,TRUE
20000008,Local,G2,6:28,6:28,FALSE
20000008,Local,G3,6:32,6:32,FALSE
20000008,Local,G4,6:36,6:36,FALSE
20000008,Local,G5,6:37,6:37,FALSE
20000008,Local,G6,6:41,6:41,FALSE
20000008,Local,G7,6:43,6:43,FALSE
20000008,Local,G8,6:45,6:45,FALSE
20000008,Local,G9,6:48,6:48,FALSE
20000008,Local,G10,6:52,6:52,FALSE
20000008,Local,G11,6:57,6:57,TRUE
20000008,Local,G12,6:59,6:59,FALSE
20000008,Local,G13,7:01,7:01,FALSE
20000008,Local,G14,7:04,7:04,TRUE
20000009,Local,G1,6:34,6:34,TRUE
20000009,Local,G2,6:38,6:38,FALSE
20000009,Local,G3,6:42,6:42,FALSE
20000009,Local,G4,6:46,6:46,FALSE
20000009,Local,G5,6:47,6:47,FALSE
20000009,Local,G6,6:51,6:51,FALSE
